stock_code,corp_code,corp_name,report_no,report_dt,report_nm
095570,00365387,AJ네트웍스,20240320001795,20240320,사업보고서 (2023.12)
095570,00365387,AJ네트웍스,20230321001546,20230321,사업보고서 (2022.12)
095570,00365387,AJ네트웍스,20220805000318,20220805,[기재정정]사업보고서 (2021.12)
095570,00365387,AJ네트웍스,20220321001262,20220321,사업보고서 (2021.12)
095570,00365387,AJ네트웍스,20210323000506,20210323,[기재정정]사업보고서 (2020.12)
095570,00365387,AJ네트웍스,20210322001122,20210322,[첨부추가]사업보고서 (2020.12)
095570,00365387,AJ네트웍스,20200330003824,20200330,사업보고서 (2019.12)
006840,00125080,AK홀딩스,20240321001157,20240321,사업보고서 (2023.12)
006840,00125080,AK홀딩스,20230323001504,20230323,사업보고서 (2022.12)
006840,00125080,AK홀딩스,20220321001495,20220321,사업보고서 (2021.12)
006840,00125080,AK홀딩스,20210323000581,20210323,[기재정정]사업보고서 (2020.12)
006840,00125080,AK홀딩스,20210322001104,20210322,사업보고서 (2020.12)
006840,00125080,AK홀딩스,20200330003219,20200330,사업보고서 (2019.12)
