stock_code,corp_name,year,word_count,filename,start_page,end_page
001630,종근당홀딩스,2024,25843,001630_종근당홀딩스.pdf,23,137
[정정]007340,DN오토모티브,2024,3822,[정정]007340_DN오토모티브.pdf,7,24
030720,동원수산,2024,5590,030720_동원수산.pdf,5,28
021050,서원,2024,3475,021050_서원.pdf,14,33
003780,진양산업,2024,1965,003780_진양산업.pdf,10,22
000140,하이트진로홀딩스,2024,15263,000140_하이트진로홀딩스.pdf,5,78
272450,진에어,2024,3209,272450_진에어.pdf,20,39
026960,동서,2024,2886,026960_동서.pdf,12,27
181710,엔에이치엔,2024,3463,181710_엔에이치엔.pdf,17,27
034830,한국토지신탁,2024,4074,034830_한국토지신탁.pdf,15,33
044380,주연테크,2024,2669,044380_주연테크.pdf,14,28
034220,LG디스플레이,2024,1076,034220_LG디스플레이.pdf,14,17
[정정]000370,한화손해보험,2024,7085,[정정]000370_한화손해보험.pdf,6,40
085310,엔케이,2024,9847,085310_엔케이.pdf,5,45
[정정]035510,신세계I&C,2024,3994,[정정]035510_신세계I&C.pdf,21,38
005500,삼진제약,2024,7563,005500_삼진제약.pdf,14,50
180640,한진칼,2024,14699,180640_한진칼.pdf,6,73
006120,SK디스커버리,2024,4967,006120_SK디스커버리.pdf,33,50
001230,동국홀딩스,2024,13596,001230_동국홀딩스.pdf,7,68
[정정]145990,삼양사,2024,8466,[정정]145990_삼양사.pdf,21,58
282690,동아타이어,2024,1943,282690_동아타이어.pdf,11,24
006800,미래에셋증권,2024,19682,006800_미래에셋증권.pdf,7,86
068270,셀트리온,2024,15865,068270_셀트리온.pdf,21,80
004910,조광페인트,2024,7673,004910_조광페인트.pdf,11,36
005740,크라운해태홀딩스,2024,9531,005740_크라운해태홀딩스.pdf,5,49
322000,HD현대에너지솔루션,2024,4345,322000_HD현대에너지솔루션.pdf,14,39
005930,삼성전자,2024,8031,005930_삼성전자.pdf,27,76
090430,아모레퍼시픽,2024,6430,090430_아모레퍼시픽.pdf,6,31
002920,유성기업,2024,5074,002920_유성기업.pdf,14,42
023150,MH에탄올,2024,4122,023150_MH에탄올.pdf,10,27
003490,대한항공,2024,9760,003490_대한항공.pdf,19,56
[정정]101530,해태제과식품,2024,4248,[정정]101530_해태제과식품.pdf,28,46
002960,한국쉘석유,2024,2884,002960_한국쉘석유.pdf,13,25
001790,대한제당,2024,4109,001790_대한제당.pdf,11,29
005090,SGC에너지,2024,5545,005090_SGC에너지.pdf,17,44
[정정]011200,HMM,2024,5434,[정정]011200_HMM.pdf,21,42
014990,인디에프,2024,2107,014990_인디에프.pdf,13,24
[정정]280360,롯데웰푸드,2024,8857,[정정]280360_롯데웰푸드.pdf,26,53
005250,녹십자홀딩스,2024,41988,005250_녹십자홀딩스.pdf,34,196
002900,TYM,2024,4992,002900_TYM.pdf,15,37
000700,유수홀딩스,2024,4783,000700_유수홀딩스.pdf,14,30
031430,신세계인터내셔날,2024,3767,031430_신세계인터내셔날.pdf,12,28
004890,동일산업,2024,3356,004890_동일산업.pdf,12,29
014790,HL D&I,2024,4985,014790_HL D&I.pdf,17,35
028100,동아지질,2024,3301,028100_동아지질.pdf,14,36
[정정]009830,한화솔루션,2024,11294,[정정]009830_한화솔루션.pdf,58,98
[정정]005740,크라운해태홀딩스,2024,5312,[정정]005740_크라운해태홀딩스.pdf,35,57
010120,엘에스일렉트릭,2024,11664,010120_엘에스일렉트릭.pdf,8,58
000150,두산,2024,27855,000150_두산.pdf,23,109
090350,노루페인트,2024,5355,090350_노루페인트.pdf,12,30
353200,대덕전자,2024,2549,353200_대덕전자.pdf,16,29
105560,KB금융,2024,51394,105560_KB금융.pdf,9,214
000370,한화손해보험,2024,7083,000370_한화손해보험.pdf,4,38
005690,파미셀,2024,4683,005690_파미셀.pdf,11,31
000990,DB하이텍,2024,4610,000990_DB하이텍.pdf,20,38
[정정]298690,에어부산,2024,3574,[정정]298690_에어부산.pdf,20,36
453340,현대그린푸드,2024,4596,453340_현대그린푸드.pdf,14,33
138040,메리츠금융지주,2024,15711,138040_메리츠금융지주.pdf,25,95
069620,대웅제약,2024,14174,069620_대웅제약.pdf,5,80
352820,하이브,2024,15205,352820_하이브.pdf,6,54
013700,까뮤이앤씨,2024,5370,013700_까뮤이앤씨.pdf,14,36
014830,유니드,2024,6462,014830_유니드.pdf,19,47
[정정]000140,하이트진로홀딩스,2024,15263,[정정]000140_하이트진로홀딩스.pdf,8,81
047050,포스코인터내셔널,2024,13218,047050_포스코인터내셔널.pdf,6,53
003620,KG모빌리티,2024,6939,003620_KG모빌리티.pdf,17,52
032560,황금에스티,2024,2394,032560_황금에스티.pdf,13,22
[정정]192400,쿠쿠홀딩스,2024,4060,[정정]192400_쿠쿠홀딩스.pdf,17,34
003220,대원제약,2024,9002,003220_대원제약.pdf,14,53
306200,세아제강,2024,3146,306200_세아제강.pdf,10,24
[정정]005830,DB손해보험,2024,1139,[정정]005830_DB손해보험.pdf,2,10
003520,영진약품,2024,4842,003520_영진약품.pdf,10,29
004490,세방전지,2024,2666,004490_세방전지.pdf,14,28
000040,KR모터스,2024,4334,000040_KR모터스.pdf,12,27
[정정]000120,CJ대한통운,2024,5882,[정정]000120_CJ대한통운.pdf,92,112
000230,일동홀딩스,2024,14290,000230_일동홀딩스.pdf,15,72
161890,한국콜마,2024,14728,161890_한국콜마.pdf,18,67
006740,영풍제지,2024,2891,006740_영풍제지.pdf,13,27
071840,롯데하이마트,2024,3654,071840_롯데하이마트.pdf,25,37
016880,웅진,2024,14105,016880_웅진.pdf,23,67
[정정]008350,남선알미늄,2024,6843,[정정]008350_남선알미늄.pdf,19,45
348950,제이알글로벌리츠,2024,2431,348950_제이알글로벌리츠.pdf,4,24
012200,계양전기,2024,5158,012200_계양전기.pdf,5,27
085620,미래에셋생명,2024,3957,085620_미래에셋생명.pdf,6,24
001120,LX인터내셔널,2024,6938,001120_LX인터내셔널.pdf,21,48
[정정]011210,현대위아,2024,7239,[정정]011210_현대위아.pdf,172,197
033250,체시스,2024,2017,033250_체시스.pdf,10,18
013580,계룡건설산업,2024,10603,013580_계룡건설산업.pdf,9,49
002360,SH에너지화학,2024,3122,002360_SH에너지화학.pdf,10,24
069960,현대백화점,2024,12434,069960_현대백화점.pdf,7,62
002870,신풍,2024,1943,002870_신풍.pdf,23,31
064350,현대로템,2024,6566,064350_현대로템.pdf,16,39
006090,사조오양,2024,4484,006090_사조오양.pdf,15,41
006660,삼성공조,2024,5340,006660_삼성공조.pdf,16,45
120110,코오롱인더,2024,11952,120110_코오롱인더.pdf,23,60
[정정]010960,삼호개발,2024,2616,[정정]010960_삼호개발.pdf,17,28
012600,청호ICT,2024,3149,012600_청호ICT.pdf,17,31
007570,일양약품,2024,5868,007570_일양약품.pdf,14,43
010640,진양폴리우레탄,2024,2640,010640_진양폴리우레탄.pdf,5,17
000070,삼양홀딩스,2024,10204,000070_삼양홀딩스.pdf,17,54
